City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Rikitea,PF,74.5,scattered clouds,-23.12,-134.97,Pension Maro'i
3,Hilo,US,84.2,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
6,Winslow,US,73.4,clear sky,35.02,-110.7,Best Western Plus Winslow Inn
9,Sao Filipe,CV,76.95,clear sky,14.9,-24.5,Tortuga B&B
20,Avarua,CK,75.2,broken clouds,-21.21,-159.78,Paradise Inn
23,Maningrida,AU,82.17,clear sky,-12.07,134.27,Dhukurrdji Lodge
24,Mecca,SA,75.67,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
25,Taylorville,US,71.01,clear sky,39.55,-89.29,Economy Inn
28,Georgetown,MY,78.8,thunderstorm,5.41,100.34,Cititel Penang
34,Bambous Virieux,MU,73.4,scattered clouds,-20.34,57.76,Casa Tia Villa
44,Fernandopolis,BR,78.03,clear sky,-20.28,-50.25,Ramada Encore by Wyndham Fernandopolis
45,Mayumba,GA,77.76,overcast clouds,-3.43,10.66,LIKWALE LODGE
56,East London,ZA,71.11,broken clouds,-33.02,27.91,Tu Casa
58,Lorengau,PG,80.17,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
60,Tabou,CI,79.23,clear sky,4.42,-7.35,hotêl doufoulougou
61,Victoria,HK,72.0,clear sky,22.29,114.16,Mini Hotel Central
62,Vaini,TO,78.8,few clouds,-21.2,-175.2,Keleti Beach Resort
63,Pemba,MZ,78.8,few clouds,-12.97,40.52,Guesthouse Samotina
64,Eydhafushi,MV,82.71,overcast clouds,5.1,73.07,Soneva Fushi
65,Brookhaven,US,73.4,clear sky,31.58,-90.44,Americas Best Value Inn Brookhaven
67,Kavieng,PG,83.19,overcast clouds,-2.57,150.8,Nusa Island Retreat
69,Lompoc,US,84.99,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
70,Atuona,PF,78.91,few clouds,-9.8,-139.03,Villa Enata
71,Soyo,AO,78.89,overcast clouds,-6.13,12.37,Hotel Mpampa
