City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.33,57.99,76,0,5.99,clear sky
1,Ushuaia,AR,-54.8,-68.3,46.4,58,75,25.28,broken clouds
2,Rikitea,PF,-23.12,-134.97,74.5,68,29,11.72,scattered clouds
3,Hilo,US,19.73,-155.09,84.2,58,40,10.29,scattered clouds
4,Punta Arenas,CL,-53.15,-70.92,53.6,40,75,16.11,broken clouds
5,Hobart,AU,-42.88,147.33,57.0,54,75,12.75,broken clouds
6,Winslow,US,35.02,-110.7,73.4,18,1,5.55,clear sky
7,Castro,BR,-24.79,-50.01,58.91,58,0,2.01,clear sky
8,Riyadh,SA,24.69,46.72,62.6,39,0,2.24,clear sky
9,Sao Filipe,CV,14.9,-24.5,76.95,76,10,5.5,clear sky
10,Hermanus,ZA,-34.42,19.23,61.0,90,100,19.46,overcast clouds
11,Saldanha,ZA,-33.01,17.94,62.6,82,100,8.05,overcast clouds
12,Mount Gambier,AU,-37.83,140.77,53.6,71,90,6.93,overcast clouds
13,Barrow,US,71.29,-156.79,21.2,85,90,16.11,light snow
14,Yumen,CN,40.28,97.2,35.26,65,0,19.17,clear sky
15,Kodiak,US,57.79,-152.41,35.6,43,1,3.36,clear sky
16,Kentau,KZ,43.52,68.51,42.82,55,0,4.63,clear sky
17,Kruisfontein,ZA,-34.0,24.73,62.01,94,62,6.76,broken clouds
18,Port Alfred,ZA,-33.59,26.89,67.08,84,34,10.22,scattered clouds
19,Kysyl-Syr,RU,63.9,122.76,1.17,93,100,3.85,overcast clouds
20,Avarua,CK,-21.21,-159.78,75.2,83,83,5.82,broken clouds
21,Bluff,NZ,-46.6,168.33,55.99,76,2,4.0,clear sky
22,Yellowknife,CA,62.46,-114.35,12.99,78,90,12.75,light snow
23,Maningrida,AU,-12.07,134.27,82.17,69,0,4.0,clear sky
24,Mecca,SA,21.43,39.83,75.67,60,0,4.29,clear sky
25,Taylorville,US,39.55,-89.29,71.01,37,1,12.75,clear sky
26,Cidreira,BR,-30.18,-50.21,64.71,70,0,6.89,clear sky
27,Harboore,DK,56.62,8.18,53.01,91,16,20.56,few clouds
28,Georgetown,MY,5.41,100.34,78.8,88,20,2.24,thunderstorm
