City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hilo,US,2020-11-04 01:12:56,19.73,-155.09,86.0,62,40,11.41
1,Namibe,AO,2020-11-04 01:12:56,-15.2,12.15,68.54,68,0,9.89
2,Upernavik,GL,2020-11-04 01:12:56,72.79,-56.15,16.9,93,100,6.26
3,Alyangula,AU,2020-11-04 01:12:56,-13.85,136.42,86.0,70,40,6.93
4,Kandrian,PG,2020-11-04 01:12:56,-6.22,149.55,83.12,81,89,8.59
5,Egvekinot,RU,2020-11-04 01:12:56,66.32,-179.17,7.7,81,0,3.76
6,Matara,LK,2020-11-04 01:12:57,5.95,80.54,77.14,87,8,5.01
7,Verkhoyansk,RU,2020-11-04 01:12:57,67.54,133.38,-13.83,84,5,1.81
8,Port Alfred,ZA,2020-11-04 01:12:57,-33.59,26.89,66.65,92,91,5.19
9,Kavieng,PG,2020-11-04 01:12:57,-2.57,150.8,85.48,71,100,6.76
10,Udachnyy,RU,2020-11-04 01:12:57,66.42,112.4,-2.2,84,75,1.43
11,Yellowknife,CA,2020-11-04 01:12:57,62.46,-114.35,1.4,84,40,5.82
12,Fortuna,US,2020-11-04 01:12:57,40.6,-124.16,59.0,93,90,6.93
13,Ushuaia,AR,2020-11-04 01:12:58,-54.8,-68.3,53.6,54,40,18.34
14,Bluff,NZ,2020-11-04 01:12:58,-46.6,168.33,58.19,59,0,4.32
15,Coihaique,CL,2020-11-04 01:12:58,-45.58,-72.07,60.8,55,75,3.36
16,Chokurdakh,RU,2020-11-04 01:12:58,70.63,147.92,-15.93,82,0,4.54
17,San Matias,BO,2020-11-04 01:12:58,-16.37,-58.4,81.75,33,0,5.99
18,Bambous Virieux,MU,2020-11-04 01:12:58,-20.34,57.76,69.01,88,75,4.7
19,Sigli,ID,2020-11-04 01:12:58,5.38,95.96,80.02,75,100,3.83
20,Bethel,US,2020-11-04 01:12:58,41.37,-73.41,36.0,69,1,2.55
21,Ribeira Grande,PT,2020-11-04 01:12:58,38.52,-28.7,61.74,65,41,8.23
22,Okhotsk,RU,2020-11-04 01:12:58,59.38,143.3,31.66,94,100,30.82
23,Slave Lake,CA,2020-11-04 01:12:59,55.28,-114.77,44.6,70,20,2.24
24,Bud,US,2020-11-04 01:12:59,39.45,-86.18,55.4,43,1,3.36
25,Gillette,US,2020-11-04 01:11:14,44.29,-105.5,55.99,39,1,6.76
26,Faanui,PF,2020-11-04 01:12:59,-16.48,-151.75,79.56,81,100,18.5
27,Mataura,NZ,2020-11-04 01:12:59,-46.19,168.86,75.18,42,0,4.72
28,Hermanus,ZA,2020-11-04 01:12:59,-34.42,19.23,64.0,92,100,1.01
29,Tual,ID,2020-11-04 01:12:59,-5.67,132.75,81.82,76,95,13.35
30,Aklavik,CA,2020-11-04 01:12:59,68.22,-135.01,5.0,77,90,3.36
31,Khatanga,RU,2020-11-04 01:13:00,71.97,102.5,-1.25,93,98,5.28
32,San Cristobal,VE,2020-11-04 01:08:43,7.77,-72.22,68.04,92,99,1.07
33,Dikson,RU,2020-11-04 01:13:00,73.51,80.55,3.97,91,0,7.16
34,Biak,ID,2020-11-04 01:13:00,-0.91,122.88,82.29,70,100,3.33
35,Atuona,PF,2020-11-04 01:13:00,-9.8,-139.03,78.28,74,71,19.64
36,Rikitea,PF,2020-11-04 01:13:00,-23.12,-134.97,72.77,78,27,16.84
37,Punta Arenas,CL,2020-11-04 01:13:00,-53.15,-70.92,46.4,87,75,10.29
38,Hithadhoo,MV,2020-11-04 01:13:00,-0.6,73.08,83.08,72,100,7.85
39,New Norfolk,AU,2020-11-04 01:13:01,-42.78,147.06,73.4,43,75,17.22
40,Pevek,RU,2020-11-04 01:13:01,69.7,170.31,-0.04,91,77,10.45
41,Junction City,US,2020-11-04 01:13:01,39.03,-96.83,68.0,36,1,3.36
42,Bubaque,GW,2020-11-04 01:13:01,11.28,-15.83,83.62,76,0,13.38
43,Tasiilaq,GL,2020-11-04 01:13:01,65.61,-37.64,33.8,86,100,35.57
44,Longyearbyen,SJ,2020-11-04 01:13:01,78.22,15.64,32.0,93,75,17.22
45,Katangli,RU,2020-11-04 01:13:02,51.71,143.23,26.76,87,69,14.34
46,Samarai,PG,2020-11-04 01:13:02,-10.62,150.67,81.82,80,48,11.86
47,Torbay,CA,2020-11-04 01:13:02,47.67,-52.73,37.0,76,90,6.93
48,Vikhorevka,RU,2020-11-04 01:13:02,56.12,101.16,24.8,92,75,6.71
49,Nome,US,2020-11-04 01:13:02,64.5,-165.41,28.4,68,90,17.22
50,Mar Del Plata,AR,2020-11-04 01:13:00,-38.0,-57.56,60.01,93,0,11.41
51,Broken Hill,AU,2020-11-04 01:13:02,-31.95,141.43,77.0,33,99,19.46
52,Cherskiy,RU,2020-11-04 01:13:02,68.75,161.3,-5.15,85,0,3.29
53,Airai,TL,2020-11-04 01:12:59,-8.93,125.41,78.46,36,93,4.27
54,Port Keats,AU,2020-11-04 01:13:03,-14.25,129.55,89.13,60,99,12.82
55,Havoysund,NO,2020-11-04 01:13:03,71.0,24.66,41.0,75,60,20.8
56,Brigantine,US,2020-11-04 01:13:03,39.41,-74.36,52.0,53,1,3.36
57,Namatanai,PG,2020-11-04 01:13:03,-3.67,152.43,86.4,67,86,4.92
58,Severo-Kurilsk,RU,2020-11-04 01:13:04,50.68,156.12,41.9,74,0,13.82
59,Butaritari,KI,2020-11-04 01:13:04,3.07,172.79,81.46,72,89,16.46
60,Barquisimeto,VE,2020-11-04 01:12:08,10.07,-69.32,71.58,87,72,3.09
61,High Prairie,CA,2020-11-04 01:13:04,55.43,-116.49,48.2,66,100,4.7
62,Nicolas Bravo,MX,2020-11-04 01:13:04,18.45,-88.92,75.2,94,90,9.17
63,Comodoro Rivadavia,AR,2020-11-04 01:13:04,-45.87,-67.5,57.2,71,0,3.36
64,Flinders,AU,2020-11-04 01:13:05,-34.58,150.86,78.01,59,81,5.01
65,Papillion,US,2020-11-04 01:13:05,41.15,-96.04,68.0,34,1,6.93
66,Ust-Nera,RU,2020-11-04 01:13:05,64.57,143.2,1.29,80,100,4.94
67,Fairbanks,US,2020-11-04 01:09:36,64.84,-147.72,-13.0,75,20,0.94
68,Busselton,AU,2020-11-04 01:12:59,-33.65,115.33,62.01,69,26,5.01
69,Wexford,IE,2020-11-04 01:13:05,52.33,-6.46,41.0,89,0,4.0
70,Lebu,CL,2020-11-04 01:13:05,-37.62,-73.65,51.87,89,43,2.95
71,Ust-Maya,RU,2020-11-04 01:13:05,60.42,134.53,-2.45,89,93,5.61
72,Laguna,US,2020-11-04 01:13:06,38.42,-121.42,73.99,35,1,3.36
73,Geraldton,AU,2020-11-04 01:13:06,-28.77,114.6,73.4,46,39,10.29
74,Klaksvik,FO,2020-11-04 01:13:06,62.23,-6.59,42.8,70,99,35.57
75,Livingstonia,MW,2020-11-04 01:13:06,-10.61,34.11,66.06,63,3,1.43
